claim_id,source_id,source_title,statement,evidence_excerpt,source_linked_nodes,exact_canonical_matches,exact_alias_matches,candidate_node_ids,candidate_node_names,candidate_signals,decision,selected_node_ids,reviewer_note
CLM_20260814_0B6E52F8,SRC_20260814_F6E1EFAD,财通电子&新科技 昀冢科技业绩说明会更新：MLCC业绩答卷&未来指引双超预期,昀冢科技高容和超高容产品占新扩产产能比例70%以上。,高容&超高容占新扩产产能比例70%以上,NODE_20260814_2CF1006E;NODE_20260814_3862DDB4;NODE_20260814_47198CC3,,,NODE_20260814_2CF1006E;NODE_20260814_3862DDB4;NODE_20260814_47198CC3,半导体;半导体材料;国产替代,"[{""node_id"":""NODE_20260814_2CF1006E"",""signals"":[""SOURCE_LINK""],""matched_aliases"":[]},{""node_id"":""NODE_20260814_3862DDB4"",""signals"":[""SOURCE_LINK""],""matched_aliases"":[]},{""node_id"":""NODE_20260814_47198CC3"",""signals"":[""SOURCE_LINK""],""matched_aliases"":[]}]",PENDING,,
CLM_20260814_541F5C31,SRC_20260814_F6E1EFAD,财通电子&新科技 昀冢科技业绩说明会更新：MLCC业绩答卷&未来指引双超预期,昀冢科技一期产线当前出货量80亿颗/月，预计2026Q4达120亿颗/月，2026年底满产。,一期：爬坡进展顺利，当前出货量在80亿颗/月，26年年底满产，预计26Q4出货量达120亿颗/月,NODE_20260814_2CF1006E;NODE_20260814_3862DDB4;NODE_20260814_47198CC3,,,NODE_20260814_2CF1006E;NODE_20260814_3862DDB4;NODE_20260814_47198CC3,半导体;半导体材料;国产替代,"[{""node_id"":""NODE_20260814_2CF1006E"",""signals"":[""SOURCE_LINK""],""matched_aliases"":[]},{""node_id"":""NODE_20260814_3862DDB4"",""signals"":[""SOURCE_LINK""],""matched_aliases"":[]},{""node_id"":""NODE_20260814_47198CC3"",""signals"":[""SOURCE_LINK""],""matched_aliases"":[]}]",PENDING,,
CLM_20260814_84099D0C,SRC_20260814_F6E1EFAD,财通电子&新科技 昀冢科技业绩说明会更新：MLCC业绩答卷&未来指引双超预期,昀冢科技电子陶瓷整体营收约1.7亿元，同比增长154%，收入占比约45%。,电子陶瓷整体营收在1.7亿元左右，同比增长154%，收入占比约45%,NODE_20260814_2CF1006E;NODE_20260814_3862DDB4;NODE_20260814_47198CC3,,,NODE_20260814_2CF1006E;NODE_20260814_3862DDB4;NODE_20260814_47198CC3,半导体;半导体材料;国产替代,"[{""node_id"":""NODE_20260814_2CF1006E"",""signals"":[""SOURCE_LINK""],""matched_aliases"":[]},{""node_id"":""NODE_20260814_3862DDB4"",""signals"":[""SOURCE_LINK""],""matched_aliases"":[]},{""node_id"":""NODE_20260814_47198CC3"",""signals"":[""SOURCE_LINK""],""matched_aliases"":[]}]",PENDING,,
CLM_20260814_8E4B9E25,SRC_20260814_F6E1EFAD,财通电子&新科技 昀冢科技业绩说明会更新：MLCC业绩答卷&未来指引双超预期,昀冢科技二期投资7.5亿元，预计2026年底开始导入量产，2027Q3完成爬坡，2027年底月产能达220亿颗。,二期：投资7.5亿，预计26年年底开始逐渐导入量产，预计27Q3完成爬坡，27年底月产能达220亿颗,NODE_20260814_2CF1006E;NODE_20260814_3862DDB4;NODE_20260814_47198CC3,,,NODE_20260814_2CF1006E;NODE_20260814_3862DDB4;NODE_20260814_47198CC3,半导体;半导体材料;国产替代,"[{""node_id"":""NODE_20260814_2CF1006E"",""signals"":[""SOURCE_LINK""],""matched_aliases"":[]},{""node_id"":""NODE_20260814_3862DDB4"",""signals"":[""SOURCE_LINK""],""matched_aliases"":[]},{""node_id"":""NODE_20260814_47198CC3"",""signals"":[""SOURCE_LINK""],""matched_aliases"":[]}]",PENDING,,
CLM_20260814_939CAEDD,SRC_20260814_F6E1EFAD,财通电子&新科技 昀冢科技业绩说明会更新：MLCC业绩答卷&未来指引双超预期,昀冢科技针对超高容量产计划提前半年，原计划2027年导入量产，现计划2026H2围绕高容超高容扩产。,公司针对超高容的量产计划提前半年开始，原计划27年逐渐导入量产，现计划26H2围绕高容超高容进行扩产,NODE_20260814_2CF1006E;NODE_20260814_3862DDB4;NODE_20260814_47198CC3,,,NODE_20260814_2CF1006E;NODE_20260814_3862DDB4;NODE_20260814_47198CC3,半导体;半导体材料;国产替代,"[{""node_id"":""NODE_20260814_2CF1006E"",""signals"":[""SOURCE_LINK""],""matched_aliases"":[]},{""node_id"":""NODE_20260814_3862DDB4"",""signals"":[""SOURCE_LINK""],""matched_aliases"":[]},{""node_id"":""NODE_20260814_47198CC3"",""signals"":[""SOURCE_LINK""],""matched_aliases"":[]}]",PENDING,,
CLM_20260814_980FA010,SRC_20260814_F6E1EFAD,财通电子&新科技 昀冢科技业绩说明会更新：MLCC业绩答卷&未来指引双超预期,2026年7月和8月MLCC单月价格环比上涨30%以上。,26M7、26M8单月价格环比上涨30%+,NODE_20260814_2CF1006E;NODE_20260814_3862DDB4;NODE_20260814_47198CC3,NODE_20260817_DABE52FE,NODE_20260817_DABE52FE,NODE_20260817_DABE52FE;NODE_20260814_2CF1006E;NODE_20260814_3862DDB4;NODE_20260814_47198CC3,MLCC;半导体;半导体材料;国产替代,"[{""node_id"":""NODE_20260817_DABE52FE"",""signals"":[""EXACT_CANONICAL"",""EXACT_ALIAS""],""matched_aliases"":[""MLCC""]},{""node_id"":""NODE_20260814_2CF1006E"",""signals"":[""SOURCE_LINK""],""matched_aliases"":[]},{""node_id"":""NODE_20260814_3862DDB4"",""signals"":[""SOURCE_LINK""],""matched_aliases"":[]},{""node_id"":""NODE_20260814_47198CC3"",""signals"":[""SOURCE_LINK""],""matched_aliases"":[]}]",PENDING,,
CLM_20260814_9A069D06,SRC_20260814_F6E1EFAD,财通电子&新科技 昀冢科技业绩说明会更新：MLCC业绩答卷&未来指引双超预期,昀冢科技三期投资7.5亿元，预计2028年开始量产爬坡，2028H2陆续达产，2028年底月产能超400亿颗。,三期：投资7.5亿元，预计28年开始量产爬坡，预计28H2陆续达产，28年底月产能超400亿颗,NODE_20260814_2CF1006E;NODE_20260814_3862DDB4;NODE_20260814_47198CC3,,,NODE_20260814_2CF1006E;NODE_20260814_3862DDB4;NODE_20260814_47198CC3,半导体;半导体材料;国产替代,"[{""node_id"":""NODE_20260814_2CF1006E"",""signals"":[""SOURCE_LINK""],""matched_aliases"":[]},{""node_id"":""NODE_20260814_3862DDB4"",""signals"":[""SOURCE_LINK""],""matched_aliases"":[]},{""node_id"":""NODE_20260814_47198CC3"",""signals"":[""SOURCE_LINK""],""matched_aliases"":[]}]",PENDING,,
CLM_20260814_BA7AC415,SRC_20260814_F6E1EFAD,财通电子&新科技 昀冢科技业绩说明会更新：MLCC业绩答卷&未来指引双超预期,昀冢科技车规级高容产品已完成认证，106、107进入实验室阶段。,车规级高容产品已完成认证，106、107已进入实验室阶段,NODE_20260814_2CF1006E;NODE_20260814_3862DDB4;NODE_20260814_47198CC3,,,NODE_20260814_2CF1006E;NODE_20260814_3862DDB4;NODE_20260814_47198CC3,半导体;半导体材料;国产替代,"[{""node_id"":""NODE_20260814_2CF1006E"",""signals"":[""SOURCE_LINK""],""matched_aliases"":[]},{""node_id"":""NODE_20260814_3862DDB4"",""signals"":[""SOURCE_LINK""],""matched_aliases"":[]},{""node_id"":""NODE_20260814_47198CC3"",""signals"":[""SOURCE_LINK""],""matched_aliases"":[]}]",PENDING,,
CLM_20260814_BAED6789,SRC_20260814_F6E1EFAD,财通电子&新科技 昀冢科技业绩说明会更新：MLCC业绩答卷&未来指引双超预期,本轮MLCC周期持续期将长于上一轮周期。,周期持续期将长于上一轮周期,NODE_20260814_2CF1006E;NODE_20260814_3862DDB4;NODE_20260814_47198CC3,NODE_20260817_DABE52FE,NODE_20260817_DABE52FE,NODE_20260817_DABE52FE;NODE_20260814_2CF1006E;NODE_20260814_3862DDB4;NODE_20260814_47198CC3,MLCC;半导体;半导体材料;国产替代,"[{""node_id"":""NODE_20260817_DABE52FE"",""signals"":[""EXACT_CANONICAL"",""EXACT_ALIAS""],""matched_aliases"":[""MLCC""]},{""node_id"":""NODE_20260814_2CF1006E"",""signals"":[""SOURCE_LINK""],""matched_aliases"":[]},{""node_id"":""NODE_20260814_3862DDB4"",""signals"":[""SOURCE_LINK""],""matched_aliases"":[]},{""node_id"":""NODE_20260814_47198CC3"",""signals"":[""SOURCE_LINK""],""matched_aliases"":[]}]",PENDING,,
CLM_20260814_D2C7FCD1,SRC_20260814_F6E1EFAD,财通电子&新科技 昀冢科技业绩说明会更新：MLCC业绩答卷&未来指引双超预期,国内MLCC原厂与海外MLCC原厂业绩报中看到的产业趋势相符合，AI挤出效应明显。,整体业绩会听下来国内MLCC原厂也与海外MLCC原厂业绩报中看到的产业趋势相符合，AI挤出效应明显,NODE_20260814_2CF1006E;NODE_20260814_3862DDB4;NODE_20260814_47198CC3,NODE_20260817_DABE52FE,NODE_20260817_DABE52FE,NODE_20260817_DABE52FE;NODE_20260814_2CF1006E;NODE_20260814_3862DDB4;NODE_20260814_47198CC3,MLCC;半导体;半导体材料;国产替代,"[{""node_id"":""NODE_20260817_DABE52FE"",""signals"":[""EXACT_CANONICAL"",""EXACT_ALIAS""],""matched_aliases"":[""MLCC""]},{""node_id"":""NODE_20260814_2CF1006E"",""signals"":[""SOURCE_LINK""],""matched_aliases"":[]},{""node_id"":""NODE_20260814_3862DDB4"",""signals"":[""SOURCE_LINK""],""matched_aliases"":[]},{""node_id"":""NODE_20260814_47198CC3"",""signals"":[""SOURCE_LINK""],""matched_aliases"":[]}]",PENDING,,
