claim_id,current_mlcc_link,proposed_primary_subject,proposed_context,recommended_action
CLM_20260814_0B6E52F8,NODE_20260817_DABE52FE|MLCC|related,昀冢科技,MLCC,ADD_COMPANY_REVIEW_MLCC_ROLE
CLM_20260814_541F5C31,NODE_20260817_DABE52FE|MLCC|related,昀冢科技,MLCC,ADD_COMPANY_REVIEW_MLCC_ROLE
CLM_20260814_8E4B9E25,NODE_20260817_DABE52FE|MLCC|related,昀冢科技,MLCC,ADD_COMPANY_REVIEW_MLCC_ROLE
CLM_20260814_939CAEDD,NODE_20260817_DABE52FE|MLCC|related,昀冢科技,MLCC,ADD_COMPANY_REVIEW_MLCC_ROLE
CLM_20260814_980FA010,NODE_20260817_DABE52FE|MLCC|related,MLCC,,KEEP_MLCC_ONLY
CLM_20260814_9A069D06,NODE_20260817_DABE52FE|MLCC|related,昀冢科技,MLCC,ADD_COMPANY_REVIEW_MLCC_ROLE
CLM_20260814_BA7AC415,NODE_20260817_DABE52FE|MLCC|related,昀冢科技,MLCC,ADD_COMPANY_REVIEW_MLCC_ROLE
CLM_20260814_BAED6789,NODE_20260817_DABE52FE|MLCC|related,MLCC,,KEEP_MLCC_ONLY
CLM_20260814_D2C7FCD1,NODE_20260817_DABE52FE|MLCC|related,MLCC,,KEEP_MLCC_ONLY
CLM_20260814_E1A48290,NODE_20260817_DABE52FE|MLCC|related,昀冢科技,MLCC,ADD_COMPANY_REVIEW_MLCC_ROLE
CLM_20260814_E53B8E9C,NODE_20260817_DABE52FE|MLCC|related,昀冢科技,MLCC,ADD_COMPANY_REVIEW_MLCC_ROLE
