decision_id,node_id,canonical_name,primary_type,description,current_view_rationale,source_refs,approval_status,normalization_note,created_at
"B2C-CREATE-001","NODE_20260819_E915630F","Large Model Inference","Application","A recurring AI workload/application with distinct infrastructure demand and economics.","Human-approved durable research object with independent long-term Current View value.","锐捷网络20260814_原文.docx","APPROVED_CREATE","","2026-08-19T00:00:00+08:00"
"B2C-CREATE-002","NODE_20260819_6D27EC24","Large Model Training","Application","A recurring AI workload/application with distinct infrastructure demand and economics.","Human-approved durable research object with independent long-term Current View value.","锐捷网络20260814_原文.docx","APPROVED_CREATE","","2026-08-19T00:00:00+08:00"
"B2C-CREATE-003","NODE_20260819_E734A4B5","Google","Entity","A persistent company/entity and recurring customer/platform actor.","Human-approved durable Entity for independent long-term research.","海外算力和超节点的共舞20260814_原文.docx","APPROVED_CREATE","","2026-08-19T00:00:00+08:00"
"B2C-CREATE-004","NODE_20260819_15E4B4D6","Lenovo Group","Entity","A persistent listed-company entity with recurring server/product evidence.","Human-approved durable Entity for independent long-term research.","联想集团20260814_原文.docx","APPROVED_CREATE","","2026-08-19T00:00:00+08:00"
"B2C-CREATE-005","NODE_20260819_946A9B53","Ruijie Networks","Entity","A persistent listed-company entity with recurring networking-product evidence.","Human-approved durable Entity for independent long-term research.","锐捷网络20260814_原文.docx","APPROVED_CREATE","","2026-08-19T00:00:00+08:00"
"B2C-CREATE-006","NODE_20260819_A8362611","ams OSRAM","Entity","A persistent company entity that can recur as customer, supplier and competitive actor.","Human-approved durable Entity for independent long-term research.","炬光科技20260812_原文.docx","APPROVED_CREATE","","2026-08-19T00:00:00+08:00"
"B2C-CREATE-007","NODE_20260819_776DBCC2","凌玮科技","Entity","A persistent company entity with recurring capacity, customer and product evidence.","Human-approved durable Entity for independent long-term research.","ptfe方案进展及硅微粉行业机会.docx","APPROVED_CREATE","","2026-08-19T00:00:00+08:00"
"B2C-CREATE-008","NODE_20260819_CF15C597","博创科技","Entity","A persistent listed-company entity with recurring supplier/customer evidence.","Human-approved durable Entity for independent long-term research.","海外算力和超节点的共舞20260814_原文.docx","APPROVED_CREATE","","2026-08-19T00:00:00+08:00"
"B2C-CREATE-009","NODE_20260819_92EE2499","台光电子","Entity","A persistent company entity and recurring CCL/customer actor.","Human-approved durable Entity for independent long-term research.","ptfe方案进展及硅微粉行业机会.docx","APPROVED_CREATE","","2026-08-19T00:00:00+08:00"
"B2C-CREATE-010","NODE_20260819_1F3CCA32","圣泉集团","Entity","A persistent listed-company entity with multiple durable material businesses.","Human-approved durable Entity for independent long-term research.","圣泉集团20260816_原文.docx","APPROVED_CREATE","","2026-08-19T00:00:00+08:00"
"B2C-CREATE-011","NODE_20260819_428B8DFB","炬光科技","Entity","A persistent listed-company entity with multiple durable product lines.","Human-approved durable Entity for independent long-term research.","炬光科技20260812_原文.docx","APPROVED_CREATE","","2026-08-19T00:00:00+08:00"
"B2C-CREATE-012","NODE_20260819_ECB183A5","生益科技","Entity","A persistent listed-company/entity and recurring CCL/customer actor.","Human-approved durable Entity for independent long-term research.","ptfe方案进展及硅微粉行业机会.docx","APPROVED_CREATE","","2026-08-19T00:00:00+08:00"
"B2C-CREATE-013","NODE_20260819_74A13516","联瑞新材","Entity","A persistent listed-company entity with recurring material, capacity and customer evidence.","Human-approved durable Entity for independent long-term research.","ptfe方案进展及硅微粉行业机会.docx","APPROVED_CREATE","","2026-08-19T00:00:00+08:00"
"B2C-CREATE-014","NODE_20260819_DB1996FC","鹏鼎控股","Entity","A persistent listed-company entity with recurring PCB/product evidence.","Human-approved durable Entity for independent long-term research.","鹏鼎控股20260812_原文.docx","APPROVED_CREATE","","2026-08-19T00:00:00+08:00"
"B2C-CREATE-015","NODE_20260819_D9922340","Copper Foil","Material","A durable parent material category with its own supply, pricing, technology and downstream evidence.","Human-approved durable material family with independent long-term Current View value.","AI算力框架-海外与国产共振20260810_原文.docx","APPROVED_CREATE","","2026-08-19T00:00:00+08:00"
"B2C-CREATE-016","NODE_20260819_FC11C8E9","Hydrocarbon Resin","Material","A durable electronic-material family with independent capacity, qualification, pricing and application evidence.","Human-approved durable material family with independent long-term Current View value.","圣泉集团20260816_原文.docx","APPROVED_CREATE","","2026-08-19T00:00:00+08:00"
"B2C-CREATE-017","NODE_20260819_4E7F0769","Low-Alpha Spherical Silica","Material","A functionally distinct advanced-packaging material class with separate purity requirements, suppliers and demand drivers.","Human-approved durable material class with independent long-term Current View value.","ptfe方案进展及硅微粉行业机会.docx","APPROVED_CREATE","","2026-08-19T00:00:00+08:00"
"B2C-CREATE-018","NODE_20260819_8A472924","Photoresist Resin","Material","A durable upstream material class with independent supply, qualification and application evidence.","Human-approved durable material class with independent long-term Current View value.","圣泉集团20260816_原文.docx","APPROVED_CREATE","","2026-08-19T00:00:00+08:00"
