claim_id,statement,evidence_excerpt,source_id,source_title,current_linked_nodes,primary_subject_candidate,context_node_candidates,mention_only_candidates,attribution_class,mlcc_semantic_role,reason,mlcc_link_should_remain,company_link_should_exist,current_view_eligible
CLM_20260814_0B6E52F8,昀冢科技高容和超高容产品占新扩产产能比例70%以上。,高容&超高容占新扩产产能比例70%以上,SRC_20260814_F6E1EFAD,财通电子&新科技 昀冢科技业绩说明会更新：MLCC业绩答卷&未来指引双超预期,NODE_20260817_DABE52FE|MLCC|related,昀冢科技,NODE_20260817_DABE52FE|MLCC,,COMPANY_PRIMARY_MLCC_CONTEXT,CONTEXT,昀冢科技是显式主体；新扩产中的产品结构是公司经营事实，MLCC 只表示产品/业务上下文。,true,true,false
CLM_20260814_541F5C31,昀冢科技一期产线当前出货量80亿颗/月，预计2026Q4达120亿颗/月，2026年底满产。,一期：爬坡进展顺利，当前出货量在80亿颗/月，26年年底满产，预计26Q4出货量达120亿颗/月,SRC_20260814_F6E1EFAD,财通电子&新科技 昀冢科技业绩说明会更新：MLCC业绩答卷&未来指引双超预期,NODE_20260817_DABE52FE|MLCC|related,昀冢科技,NODE_20260817_DABE52FE|MLCC,,COMPANY_PRIMARY_MLCC_CONTEXT,CONTEXT,昀冢科技一期产线的出货量、爬坡和满产时间是公司产能事实，MLCC 是该产线的产品上下文。,true,true,false
CLM_20260814_8E4B9E25,昀冢科技二期投资7.5亿元，预计2026年底开始导入量产，2027Q3完成爬坡，2027年底月产能达220亿颗。,二期：投资7.5亿，预计26年年底开始逐渐导入量产，预计27Q3完成爬坡，27年底月产能达220亿颗,SRC_20260814_F6E1EFAD,财通电子&新科技 昀冢科技业绩说明会更新：MLCC业绩答卷&未来指引双超预期,NODE_20260817_DABE52FE|MLCC|related,昀冢科技,NODE_20260817_DABE52FE|MLCC,,COMPANY_PRIMARY_MLCC_CONTEXT,CONTEXT,二期投资和量产计划直接陈述昀冢科技的资本开支与产能，不能升格为 MLCC 行业总产能。,true,true,false
CLM_20260814_939CAEDD,昀冢科技针对超高容量产计划提前半年，原计划2027年导入量产，现计划2026H2围绕高容超高容扩产。,公司针对超高容的量产计划提前半年开始，原计划27年逐渐导入量产，现计划26H2围绕高容超高容进行扩产,SRC_20260814_F6E1EFAD,财通电子&新科技 昀冢科技业绩说明会更新：MLCC业绩答卷&未来指引双超预期,NODE_20260817_DABE52FE|MLCC|related,昀冢科技,NODE_20260817_DABE52FE|MLCC,,COMPANY_PRIMARY_MLCC_CONTEXT,CONTEXT,statement 与 evidence 都将量产提前及扩产计划归于公司；高容/超高容 MLCC 是上下文。,true,true,false
CLM_20260814_980FA010,2026年7月和8月MLCC单月价格环比上涨30%以上。,26M7、26M8单月价格环比上涨30%+,SRC_20260814_F6E1EFAD,财通电子&新科技 昀冢科技业绩说明会更新：MLCC业绩答卷&未来指引双超预期,NODE_20260817_DABE52FE|MLCC|related,MLCC,,,MLCC_PRIMARY,PRIMARY_SUBJECT,statement 与 evidence 直接陈述 MLCC 价格环比变化，未将公司营收、产能或投资写成产品整体事实。,true,false,true
CLM_20260814_9A069D06,昀冢科技三期投资7.5亿元，预计2028年开始量产爬坡，2028H2陆续达产，2028年底月产能超400亿颗。,三期：投资7.5亿元，预计28年开始量产爬坡，预计28H2陆续达产，28年底月产能超400亿颗,SRC_20260814_F6E1EFAD,财通电子&新科技 昀冢科技业绩说明会更新：MLCC业绩答卷&未来指引双超预期,NODE_20260817_DABE52FE|MLCC|related,昀冢科技,NODE_20260817_DABE52FE|MLCC,,COMPANY_PRIMARY_MLCC_CONTEXT,CONTEXT,三期投资、量产爬坡和公司月产能直接以昀冢科技为主体；MLCC 是产品上下文。,true,true,false
CLM_20260814_BA7AC415,昀冢科技车规级高容产品已完成认证，106、107进入实验室阶段。,车规级高容产品已完成认证，106、107已进入实验室阶段,SRC_20260814_F6E1EFAD,财通电子&新科技 昀冢科技业绩说明会更新：MLCC业绩答卷&未来指引双超预期,NODE_20260817_DABE52FE|MLCC|related,昀冢科技,NODE_20260817_DABE52FE|MLCC,,COMPANY_PRIMARY_MLCC_CONTEXT,CONTEXT,认证和实验室进度属于昀冢科技的车规级高容产品，不能解释为整个 MLCC 产品类别已完成认证。,true,true,false
CLM_20260814_BAED6789,本轮MLCC周期持续期将长于上一轮周期。,周期持续期将长于上一轮周期,SRC_20260814_F6E1EFAD,财通电子&新科技 昀冢科技业绩说明会更新：MLCC业绩答卷&未来指引双超预期,NODE_20260817_DABE52FE|MLCC|related,MLCC,,,MLCC_PRIMARY,PRIMARY_SUBJECT,Claim 直接比较本轮与上一轮 MLCC 行业周期持续期。,true,false,true
CLM_20260814_D2C7FCD1,国内MLCC原厂与海外MLCC原厂业绩报中看到的产业趋势相符合，AI挤出效应明显。,整体业绩会听下来国内MLCC原厂也与海外MLCC原厂业绩报中看到的产业趋势相符合，AI挤出效应明显,SRC_20260814_F6E1EFAD,财通电子&新科技 昀冢科技业绩说明会更新：MLCC业绩答卷&未来指引双超预期,NODE_20260817_DABE52FE|MLCC|related,MLCC,,,MLCC_PRIMARY,PRIMARY_SUBJECT,Claim 比较国内外 MLCC 原厂并陈述 AI 挤出效应，事实层级是行业/产品趋势。,true,false,true
CLM_20260814_E1A48290,2026年6月MLCC单月营收相较于4月将近翻倍。,26M6单月营收相较于26M4单月营收将近翻倍,SRC_20260814_F6E1EFAD,财通电子&新科技 昀冢科技业绩说明会更新：MLCC业绩答卷&未来指引双超预期,NODE_20260817_DABE52FE|MLCC|related,昀冢科技,NODE_20260817_DABE52FE|MLCC,,COMPANY_PRIMARY_MLCC_CONTEXT,CONTEXT,营收必须归属于报告主体；Source 标题限定昀冢科技，且 evidence 没有行业汇总口径，因此 MLCC 只是业务上下文。,true,true,false
