node_id,canonical_name,primary_type,alias_count,parent_count,child_count,source_count,claim_count,current_view_count,research_question_count,knowledge_gap_count,part_of_in_count,part_of_out_count,functional_relation_count
NODE_20260819_E915630F,Large Model Inference,Application,0,0,0,0,0,0,0,0,0,0,0
NODE_20260819_6D27EC24,Large Model Training,Application,0,0,0,0,0,0,0,0,0,0,0
NODE_20260819_A8362611,ams OSRAM,Entity,0,0,0,0,0,0,0,0,0,0,0
NODE_20260819_E734A4B5,Google,Entity,0,0,0,0,0,0,0,0,0,0,0
NODE_20260819_15E4B4D6,Lenovo Group,Entity,0,0,0,0,0,0,0,0,0,0,0
NODE_20260819_946A9B53,Ruijie Networks,Entity,0,0,0,0,0,0,0,0,0,0,0
NODE_20260814_68CD6036,中际旭创,Entity,1,0,0,0,0,0,0,0,0,0,0
NODE_20260819_776DBCC2,凌玮科技,Entity,0,0,0,0,0,0,0,0,0,0,0
NODE_20260819_CF15C597,博创科技,Entity,0,0,0,0,0,0,0,0,0,0,0
NODE_20260819_92EE2499,台光电子,Entity,0,0,0,0,0,0,0,0,0,0,0
NODE_20260819_1F3CCA32,圣泉集团,Entity,0,0,0,0,0,0,0,0,0,0,0
NODE_20260819_428B8DFB,炬光科技,Entity,0,0,0,0,0,0,0,0,0,0,0
NODE_20260819_ECB183A5,生益科技,Entity,0,0,0,0,0,0,0,0,0,0,0
NODE_20260819_74A13516,联瑞新材,Entity,0,0,0,0,0,0,0,0,0,0,0
NODE_20260814_D444265B,长光华芯,Entity,1,0,0,0,0,0,0,0,0,0,0
NODE_20260819_DB1996FC,鹏鼎控股,Entity,0,0,0,0,0,0,0,0,0,0,0
NODE_20260817_EFDF1D1B,Active Alignment Equipment,Equipment,3,1,0,0,0,0,0,0,0,1,0
NODE_20260817_DA450C32,Advanced Packaging 3D Metrology Equipment,Equipment,3,1,0,0,0,0,0,0,0,1,0
NODE_20260817_DBA40C61,Advanced Packaging CMP Equipment,Equipment,3,1,0,0,0,0,0,0,0,1,0
NODE_20260817_355DDD2A,Advanced Packaging Inspection Equipment,Equipment,2,1,0,0,0,0,0,0,0,1,0
NODE_20260817_6CA60B46,Advanced Packaging Lithography Equipment,Equipment,2,1,0,0,0,0,0,0,0,1,0
NODE_20260817_96D8F2A2,Compound Semiconductor MOCVD Equipment,Equipment,3,1,0,0,0,0,0,0,0,1,0
NODE_20260817_BE7CAFF9,Copper Electrochemical Deposition Equipment,Equipment,4,1,0,0,0,0,0,0,0,1,0
NODE_20260817_757E2E4B,Fiber Attach Equipment,Equipment,3,1,0,0,0,0,0,0,0,1,0
NODE_20260825_BE3AF9CD,Gas Turbine,Equipment,2,0,0,0,0,0,0,0,0,0,0
NODE_20260817_5934BF3A,High-Precision Die Bonder,Equipment,4,1,0,0,0,0,0,0,0,1,0
NODE_20260817_3CE1A5A0,Hybrid Bonding Equipment,Equipment,2,1,0,0,0,0,0,0,0,1,0
NODE_20260817_7B6126DE,Optical Burn-In Equipment,Equipment,3,1,0,0,0,0,0,0,0,1,0
NODE_20260817_5ECC84E6,Optical Transceiver Test Equipment,Equipment,3,1,0,0,0,0,0,0,0,1,0
NODE_20260817_B1527B19,Photonics Die Bonder,Equipment,3,1,0,0,0,0,0,0,0,1,0
NODE_20260817_4A4C82C3,Photonics Wafer Inspection Equipment,Equipment,3,1,0,0,0,0,0,0,0,1,0
NODE_20260817_6DAAC3CA,Photonics Wafer Probe Equipment,Equipment,3,1,0,0,0,0,0,0,0,1,0
NODE_20260817_8593DC71,RDL Etch Equipment,Equipment,3,1,0,0,0,0,0,0,0,1,0
NODE_20260817_AA8C4314,Temporary Bonding & Debonding Equipment,Equipment,3,1,0,0,0,0,0,0,0,1,0
NODE_20260817_37E2F7AB,Thermo-Compression Bonder,Equipment,4,1,0,0,0,0,0,0,0,1,0
NODE_20260817_9986453D,TSV Barrier/Seed Deposition Equipment,Equipment,3,1,0,0,0,0,0,0,0,1,0
NODE_20260817_6A3F2E5C,TSV Deep Silicon Etch Equipment,Equipment,3,1,0,0,0,0,0,0,0,1,0
NODE_20260817_8CA310ED,Wafer Dicing Equipment,Equipment,3,1,0,0,0,0,0,0,0,1,0
NODE_20260817_1A2FB98F,Wafer Grinding Equipment,Equipment,3,1,0,0,0,0,0,0,0,1,0
NODE_20260814_E7FA7482,FCC规则变化,Event,1,0,0,0,0,0,0,0,0,0,0
NODE_20260814_3B4B3308,AI应用,Industry,1,0,0,0,0,0,0,0,0,0,0
NODE_20260814_D7E0C145,医药,Industry,1,0,3,0,0,0,0,0,3,0,0
NODE_20260814_2CF1006E,半导体,Industry,1,0,3,1,0,0,0,0,3,0,0
NODE_20260814_7BE46440,商业航天,Industry,1,0,0,0,0,0,0,0,0,0,0
NODE_20260814_A4CD25D1,智能电网,Industry,1,0,0,0,0,0,0,0,0,0,0
NODE_20260814_8D5B9F0E,机器人,Industry,1,0,3,0,0,0,0,0,3,0,0
NODE_20260814_164548FF,算力,Industry,1,0,3,0,0,0,0,0,3,0,0
NODE_20260814_1D6371B9,通信,Industry,1,0,2,0,0,0,0,0,2,0,0
NODE_20260817_E9495387,ABF Build-up Film,Material,3,1,0,0,0,0,0,0,0,1,0
NODE_20260817_D33CCFC0,Advanced Packaging Photoresist,Material,2,1,0,0,0,0,0,0,0,1,0
NODE_20260817_E18EBAE7,Copper Electroplating Chemical,Material,3,1,0,0,0,0,0,0,0,1,0
NODE_20260819_D9922340,Copper Foil,Material,0,0,0,0,0,0,0,0,0,0,0
NODE_20260817_679A1AD1,Dielectric Coolant,Material,3,1,0,0,0,0,0,0,0,1,0
NODE_20260817_42B0DD93,Dielectric Immersion Fluid,Material,3,0,0,0,0,0,0,0,0,0,0
NODE_20260825_2F8C6A63,Electronic Glass Yarn,Material,2,0,0,0,0,0,0,0,0,0,0
NODE_20260817_6BF58D0C,Epoxy Molding Compound,Material,4,1,0,0,0,0,0,0,0,1,0
NODE_20260817_ECA825B2,GaAs Epitaxial Wafer,Material,3,1,0,0,0,0,0,0,0,1,0
NODE_20260817_194B02A2,Gallium Arsenide,Material,3,1,0,0,0,0,0,0,0,1,0
NODE_20260817_FB3C88CD,High-Speed Low-Loss CCL,Material,5,1,0,0,0,0,0,0,0,1,0
NODE_20260819_FC11C8E9,Hydrocarbon Resin,Material,1,0,0,0,0,0,0,0,0,0,0
NODE_20260817_2408E066,Indium Phosphide,Material,3,1,0,0,0,0,0,0,0,1,0
NODE_20260817_EC332D9E,InP Epitaxial Wafer,Material,3,1,0,0,0,0,0,0,0,1,0
NODE_20260817_51A6EB8B,InP Substrate,Material,3,1,0,0,0,0,0,0,0,1,0
NODE_20260817_9C0B9CF2,Liquid Cooling Coolant,Material,3,0,3,0,0,0,0,0,3,0,0
NODE_20260819_4E7F0769,Low-Alpha Spherical Silica,Material,0,0,0,0,0,0,0,0,0,0,0
NODE_20260825_38824A9B,Low-CTE Glass Fabric,Material,3,0,0,0,0,0,0,0,0,0,0
NODE_20260817_0D00AB0A,Low-Dk Glass Fabric,Material,4,1,0,0,0,0,0,0,0,1,0
NODE_20260817_1BF137CE,Low-Profile Copper Foil,Material,3,1,0,0,0,0,0,0,0,1,0
NODE_20260825_AB188EF6,MLCC Release Film,Material,2,1,0,0,0,0,0,0,0,1,0
NODE_20260825_23E37E43,Nickel Powder,Material,1,0,0,0,0,0,0,0,0,0,0
NODE_20260817_BB867896,Non-Conductive Film,Material,3,1,0,0,0,0,0,0,0,1,0
NODE_20260819_8A472924,Photoresist Resin,Material,0,0,0,0,0,0,0,0,0,0,0
NODE_20260819_7E0141C1,Polyphenylene Oxide (PPO),Material,0,0,0,0,0,0,0,0,0,0,0
NODE_20260825_CAF49323,PTFE Resin,Material,2,0,0,0,0,0,0,0,0,0,0
NODE_20260825_F06856F1,Quartz Glass Fabric,Material,3,0,0,0,0,0,0,0,0,0,0
NODE_20260817_0873A4EF,RDL Dielectric Material,Material,3,1,0,0,0,0,0,0,0,1,0
NODE_20260819_4B13EC49,Silica Powder,Material,1,0,1,0,0,0,0,0,1,0,0
NODE_20260817_7A9AE357,Silicon-on-Insulator Wafer,Material,3,0,0,0,0,0,0,0,0,0,0
NODE_20260825_AAF6E568,Spherical Silica Powder,Material,2,1,0,0,0,0,0,0,0,1,0
NODE_20260817_0B264789,Temporary Bonding Adhesive,Material,3,1,0,0,0,0,0,0,0,1,0
NODE_20260817_9A288872,Two-Phase Refrigerant,Material,3,1,0,0,0,0,0,0,0,1,0
NODE_20260817_397D3280,Underfill Material,Material,3,1,0,0,0,0,0,0,0,1,0
NODE_20260817_AE3AD571,Water-Glycol Coolant,Material,3,1,0,0,0,0,0,0,0,1,0
NODE_20260814_36FDA0B6,电子布,Material,3,0,0,0,0,0,0,0,0,0,0
